district,match_km,date,dfo_cause,dfo_severity,local_rain_mm,upstream_rain_mm,discharge_m3s,soil_moisture,model_probability,model_level,would_have_flagged
মৌলভীবাজার,18.6,1994-06-01,Monsoonal rain,1,12.1,1.8,0,0.423,35,সাবধান,False
বান্দরবান,39.2,1994-06-14,Monsoonal rain,1,7.9,10.0,0,0.412,69.4,সতর্ক,True
মাদারীপুর,21.1,1995-05-17,Heavy rain,1,87.0,43.2,0,0.426,50,সতর্ক,True
শেরপুর,25.1,1995-06-16,Monsoonal rain,1,22.2,168.2,0,0.403,95,বিপদ,True
নীলফামারী,23.3,1995-07-04,Monsoonal rain,1,11.5,18.1,0,0.424,70.7,বিপদ,True
জামালপুর,8.0,1995-08-16,Monsoonal rain,1,8.0,3.6,0,0.415,13.2,নিরাপদ,False
শেরপুর,25.7,1995-09-29,Monsoonal rain,1,2.9,0.2,0,0.398,12.4,নিরাপদ,False
পটুয়াখালী,7.0,1995-11-10,Tropical cyclone,1,14.3,24.9,0,0.424,45,সাবধান,False
শেরপুর,25.9,1996-06-27,Monsoonal rain,1,33.0,67.9,0,0.423,95,বিপদ,True
গোপালগঞ্জ,14.3,1996-07-19,Monsoonal rain,1,9.2,4.8,0,0.387,27.6,নিরাপদ,False
শেরপুর,47.6,1996-08-26,Heavy Rain,1,6.2,8.9,0,0.4,76.7,বিপদ,True
রাঙ্গামাটি,19.8,1997-03-19,Heavy rain,1,0.3,0.0,196.7,0.227,22.7,নিরাপদ,False
কক্সবাজার,38.8,1997-06-14,Heavy rain,1,33.0,2.9,53.8,0.429,75,বিপদ,True
চট্টগ্রাম,20.4,1997-07-03,Heavy rain,1,35.8,44.6,681.3,0.426,85.4,বিপদ,True
বান্দরবান,33.4,1997-07-29,Heavy rain,1,9.2,2.6,170.8,0.415,35,সাবধান,False
ফরিদপুর,26.0,1998-05-20,Tropical cyclone,1,1.1,0.0,32.0,0.329,12.1,নিরাপদ,False
সিলেট,248.3,1998-06-09,Monsoonal rain,1,134.4,22.0,1533.6,0.431,95,বিপদ,True
কুড়িগ্রাম,28.2,1999-07-11,Monsoonal rain,1,38.2,34.6,72777.0,0.426,100,বিপদ,True
নরসিংদী,13.1,1999-08-11,Heavy rain,1,8.3,4.1,8164.8,0.42,96.6,বিপদ,True
ঝিনাইদহ,25.9,1999-09-24,Brief torrential rain,1,10.1,11.6,98.1,0.417,22.2,নিরাপদ,False
খাগড়াছড়ি,51.0,2000-05-27,Monsoonal rain,1,4.6,1.4,83.7,0.419,35,সাবধান,False
গাইবান্ধা,32.6,2000-06-19,Monsoonal rain,1,2.9,62.0,45602.7,0.403,97.9,বিপদ,True
সিলেট,369.9,2000-08-02,Monsoonal rain,1,72.0,77.0,1323.3,0.429,95,বিপদ,True
চাঁপাইনবাবগঞ্জ,9198.6,2000-09-20,Brief torrential rain,1,44.3,62.6,28773.0,0.424,60.5,সতর্ক,True
মৌলভীবাজার,23.2,2001-06-05,Monsoonal rain,1,62.9,47.5,2050.2,0.428,95,বিপদ,True
কুড়িগ্রাম,11.2,2001-07-31,Monsoonal rain,1,25.1,5.4,54700.6,0.426,88.7,বিপদ,True
সুনামগঞ্জ,15.6,2002-04-18,"Dam/Levy, break or release",1,18.1,14.7,417.8,0.449,75,বিপদ,True
মৌলভীবাজার,1.9,2002-05-23,Heavy rain,1,38.5,24.0,1632.0,0.426,95,বিপদ,True
সুনামগঞ্জ,44.4,2002-06-18,Monsoonal rain,1,10.6,11.4,1713.0,0.442,68.4,সতর্ক,True
কুড়িগ্রাম,126.4,2003-06-11,Monsoonal rain,2,18.5,31.6,30618.6,0.42,87.0,বিপদ,True
বান্দরবান,42.7,2003-06-19,Monsoonal rain,1,8.1,4.7,86.5,0.422,35,সাবধান,False
সিলেট,17.7,2004-04-14,Heavy rain,1,159.8,66.1,1926.5,0.428,95,বিপদ,True
চাঁপাইনবাবগঞ্জ,260.5,2004-06-20,Monsoonal rain,2,26.6,14.1,6485.4,0.42,41.8,সাবধান,False
বগুড়া,18.3,2004-10-07,Heavy rain,1,126.7,206.3,808.1,0.429,50,সতর্ক,True
মৌলভীবাজার,19.1,2005-05-25,Heavy rain,1,21.0,17.8,1249.3,0.423,75,বিপদ,True
লালমনিরহাট,16.8,2005-06-23,Monsoonal rain,1,29.9,102.9,2442.4,0.423,90.5,বিপদ,True
পঞ্চগড়,195.2,2005-07-07,Monsoonal rain,1,5.8,3.9,132.3,0.407,18.8,নিরাপদ,False
রংপুর,32.3,2005-10-03,Heavy rain,1,30.6,13.6,967.3,0.426,57.8,সতর্ক,True
সিলেট,287.5,2006-05-31,Monsoonal rain,1,84.3,31.8,868.0,0.427,95,বিপদ,True
যশোর,9.2,2006-08-24,Monsoonal rain,1,6.3,2.3,63.9,0.406,16.4,নিরাপদ,False
সাতক্ষীরা,626.7,2006-09-18,Monsoonal rain,1,4.9,2.9,104.9,0.485,4.1,নিরাপদ,False
চট্টগ্রাম,18.3,2007-06-11,Monsoonal rain,1,33.0,90.7,301.0,0.425,60,সতর্ক,True
ব্রাহ্মণবাড়িয়া,13.5,2007-07-21,Monsoonal rain,1,217.1,96.0,7997.4,0.427,100,বিপদ,True
ঝালকাঠি,6.0,2007-11-15,Tropical cyclone,1,71.8,43.9,38.4,0.369,65,সতর্ক,True
শেরপুর,23.9,2008-06-20,"Levee failure, early monsoonal rain",1,22.7,7.7,119.2,0.423,75,বিপদ,True
শেরপুর,19.2,2008-08-30,Monsoon Rains,1.5,41.3,10.7,162.3,0.421,75,বিপদ,True
সাতক্ষীরা,17.5,2009-04-20,Heavy Rain,1.5,0.0,0.0,14.7,0.273,32.8,সাবধান,False
জয়পুরহাট,18.6,2009-07-03,Torrential Rain,1,57.0,24.4,189.1,0.421,50,সতর্ক,True
সাতক্ষীরা,45.2,2010-03-27,Heavy Rain,1,0.0,0.0,0.0,0.25,31.1,সাবধান,False
মানিকগঞ্জ,15.2,2010-07-01,Monsoonal Rain,1,12.6,16.0,86495.8,0.417,95.3,বিপদ,True
গাইবান্ধা,15.3,2010-09-09,Monsoon Rains,1.5,9.6,2.5,47205.3,0.415,97.3,বিপদ,True
ব্রাহ্মণবাড়িয়া,28.8,2010-10-01,Heavy Rain and Storm Surge,1.5,2.9,0.3,5860.4,0.383,93.7,বিপদ,True
সাতক্ষীরা,27.9,2011-07-21,Monsoonal Rain,1.5,28.3,43.7,243.3,0.474,71.0,বিপদ,True
সাতক্ষীরা,78.7,2011-08-10,Monsoonal Rain,2,63.0,40.7,514.2,0.473,83.6,বিপদ,True
বান্দরবান,12.9,2012-06-24,Monsoonal Rain,1.5,39.1,12.0,66.5,0.428,75,বিপদ,True
কুমিল্লা,19.9,2013-05-14,Tropical Storm Mahasen,1.5,1.2,2.8,74.9,0.424,8.7,নিরাপদ,False
পটুয়াখালী,22.8,2014-07-13,Heavy Rain and High Tide,1.5,6.3,0.6,23.0,0.389,28.2,নিরাপদ,False
কিশোরগঞ্জ,20.4,2014-08-20,Monsoonal Rain,1.5,6.5,6.8,6853.9,0.414,97.9,বিপদ,True
চট্টগ্রাম,22.7,2015-06-24,Torrential Rain,1.5,107.0,12.3,508.3,0.429,85,বিপদ,True
সিলেট,470.0,2016-04-20,Heavy Rain,1.5,41.4,35.6,852.1,0.419,95,বিপদ,True
টাঙ্গাইল,21.1,2016-07-25,Monsoonal Rain,1.5,7.7,43.8,2.1,0.411,39.3,সাবধান,False
কিশোরগঞ্জ,16.8,2017-03-30,Heavy Rain,1,46.2,38.5,1523.0,0.423,50,সতর্ক,True
গাইবান্ধা,2.7,2017-04-16,Heavy Rain,1,8.3,0.8,11427.8,0.395,17.6,নিরাপদ,False
বান্দরবান,12.3,2017-06-11,Monsoonal Rain,1.5,24.6,22.4,44.3,0.423,75,বিপদ,True
সিরাজগঞ্জ,35.5,2017-08-10,Monsoonal Rain,1.5,21.8,29.7,51403.4,0.497,94.0,বিপদ,True
খাগড়াছড়ি,19.4,2018-05-20,Torrential Rain,1.5,76.1,20.3,34.6,0.425,95,বিপদ,True
সাতক্ষীরা,190.3,2019-05-03,Tropical Cyclone Fani,1.5,27.8,42.3,47.9,0.394,45,সাবধান,False
গাইবান্ধা,24.0,2019-07-10,Monsoonal Rain,1,55.2,34.5,78703.6,0.435,90.5,বিপদ,True
সাতক্ষীরা,394.1,2020-05-19,Tropical Storm Amphan,2,7.2,5.5,58.2,0.36,11.2,নিরাপদ,False
জামালপুর,23.1,2020-06-30,Monsoonal Rain,1.5,2.0,1.8,70144.6,0.399,96.3,বিপদ,True
রাঙ্গামাটি,557.4,2021-07-25,Monsoonal Rain,1.5,10.4,1.4,489.9,0.295,35,সাবধান,False
বান্দরবান,37.3,2021-07-27,Monsoonal Rain,1.5,197.8,9.6,132.1,0.43,95,বিপদ,True
